"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
25,1,"tri",143,0,1155.88645446817,38.539825769144,6.84312295913696,FALSE
25,2,"carpenter",143,NA,NA,NA,NA,TRUE
25,2,"pinkney",143,NA,NA,NA,NA,TRUE
25,2,"ldl2",143,NA,NA,NA,NA,TRUE
25,2,"ldl3",143,NA,NA,NA,NA,TRUE
25,2,"cvine",143,NA,NA,NA,NA,TRUE
25,2,"schur",143,NA,NA,NA,NA,TRUE
25,2,"qr2",143,0,4149.26471289157,19.2095588559795,85.5435819625854,FALSE
25,2,"tri",143,0,1245.62412875327,41.5208042917755,6.95729804039001,FALSE
25,3,"carpenter",143,NA,NA,NA,NA,TRUE
25,3,"pinkney",143,NA,NA,NA,NA,TRUE
25,3,"ldl2",143,NA,NA,NA,NA,TRUE
25,3,"ldl3",143,NA,NA,NA,NA,TRUE
25,3,"cvine",143,NA,NA,NA,NA,TRUE
25,3,"schur",143,NA,NA,NA,NA,TRUE
25,3,"qr2",143,0,3540.09377966082,26.0945702593231,42.237254858017,FALSE
25,3,"tri",143,0,1499.00109389615,50.1673726203532,6.72212600708008,FALSE
25,4,"carpenter",143,NA,NA,NA,NA,TRUE
25,4,"pinkney",143,NA,NA,NA,NA,TRUE
25,4,"ldl2",143,NA,NA,NA,NA,TRUE
25,4,"ldl3",143,NA,NA,NA,NA,TRUE
25,4,"cvine",143,NA,NA,NA,NA,TRUE
25,4,"schur",143,NA,NA,NA,NA,TRUE
25,4,"qr2",143,0,3890.69958204392,30.8315866460942,37.4398229122162,FALSE
25,4,"tri",143,0,1150.68129292224,43.74548710927,6.33757781982422,FALSE
